19,146,56,3,2,1,3
28,163,67,8,5,13,3
33,176,78,6,4,6,1
32,130,68,8,4,2,3
82,137,46,21,4,11,4
28,146,62,16,0,11,5
18,141,40,13,3,12,3
54,134,45,16,5,7,3
84,130,39,11,5,3,4
74,152,73,9,4,13,5
65,173,67,16,2,16,1
20,131,37,6,1,3,5
83,131,65,8,2,4,1
19,188,52,8,5,14,1
33,141,58,7,4,12,1
89,131,59,19,3,10,3
78,179,82,17,5,9,4
36,140,97,10,5,10,5
41,136,87,14,5,20,1
61,188,69,21,3,5,3
22,131,89,14,2,12,3
62,168,41,19,0,8,5
19,167,68,10,0,6,2
33,136,53,5,5,20,5
88,175,74,18,4,11,4
41,182,50,9,2,16,5
18,147,78,13,5,17,5
58,168,99,3,3,2,2
19,190,33,11,5,6,3
20,133,57,14,4,12,1
31,137,62,18,0,3,4
17,142,41,15,4,0,3
79,188,87,16,3,19,1
53,153,59,4,4,9,4
84,190,91,21,3,1,5
55,141,86,19,0,16,3
37,170,32,6,2,11,3
21,182,88,11,1,3,4
37,147,63,6,1,15,5
34,171,100,17,3,8,2
71,151,55,15,5,1,4
32,166,59,19,0,19,2
59,157,94,6,3,6,1
90,165,69,18,0,5,5
69,153,84,15,0,9,5
65,187,53,2,5,19,3
87,142,91,8,4,1,5
42,189,83,15,0,14,5
90,157,77,13,1,16,1
79,163,93,12,5,20,3
35,189,91,13,3,3,5
69,166,62,22,5,10,3
63,158,88,18,3,15,1
89,146,77,16,4,10,3
55,154,81,12,2,1,4
20,178,83,7,0,20,4
27,144,79,23,1,11,3
34,184,74,19,4,2,1
23,140,80,10,5,11,2
75,168,71,11,0,2,2
29,162,54,23,3,9,3
48,169,38,15,1,3,2
35,132,64,21,5,5,4
36,150,88,5,2,18,4
16,143,85,13,4,0,5
69,179,91,3,0,18,3
26,169,31,16,4,6,4
80,150,43,4,4,2,1
49,179,62,6,2,5,1
26,176,31,7,2,5,3
73,148,64,10,4,0,1
90,185,100,3,2,1,1
33,155,81,12,0,12,4
53,159,61,10,2,11,4
15,158,99,5,1,12,2
89,147,79,21,5,17,5
53,163,35,12,2,14,3
19,164,59,19,4,8,4
40,175,85,8,0,10,1
84,184,36,10,0,11,5
50,140,85,4,2,2,1
38,170,83,16,5,4,3
49,183,85,12,4,9,3
19,162,94,18,5,11,4
19,150,95,14,2,3,4
72,161,75,20,2,17,5
42,158,54,6,4,0,5
79,181,47,4,1,0,3
16,172,67,21,4,8,1
62,182,83,13,0,18,5
77,169,78,7,4,20,4
38,162,93,22,4,3,5
38,190,32,18,4,12,4
69,178,35,22,3,1,3
50,180,48,5,2,13,3
29,156,79,2,5,10,1
75,180,45,20,3,19,3
88,168,66,20,2,13,1
38,137,59,4,2,14,4
62,186,57,17,1,0,3
59,150,100,8,1,5,3
26,183,64,12,1,4,2
16,180,83,5,3,12,3
69,180,81,12,0,6,4
80,148,91,17,3,0,1
49,168,61,6,5,1,5
71,140,43,19,2,11,5
40,160,90,13,0,14,5
32,156,82,5,5,18,4
87,164,86,17,5,12,1
88,147,79,20,1,15,3
65,182,85,19,2,9,1
61,165,96,14,2,16,2
41,186,32,21,2,17,1
25,152,65,11,5,0,5
