29,151,3
40,179,3
17,147,5
86,140,4
13,178,4
58,189,4
27,154,3
79,183,4
98,178,2
23,143,3
17,156,5
55,149,4
100,142,3
25,158,5
74,177,4
90,140,5
68,161,2
88,161,5
71,166,4
83,184,2
76,149,4
24,184,5
83,183,2
13,152,1
68,178,2
66,170,3
74,180,1
88,185,3
19,161,4
24,174,2
87,166,5
77,147,1
96,163,4
13,154,2
35,181,1
66,189,2
17,182,1
58,153,5
53,149,4
57,178,2
61,171,2
37,175,3
59,161,2
95,153,4
74,162,4
14,179,1
85,175,3
89,171,2
19,170,5
21,173,1
23,162,5
31,190,5
24,166,5
97,140,1
93,142,2
74,157,2
32,188,1
66,153,4
89,155,4
17,188,3
48,178,3
21,143,5
75,150,5
85,182,2
41,178,3
53,189,1
12,190,5
54,154,5
34,180,3
22,182,4
22,149,4
74,167,3
100,143,1
38,185,1
39,145,2
68,166,5
94,142,5
50,164,2
93,173,5
16,181,5
91,179,3
57,178,4
82,147,1
43,183,1
29,168,3
81,141,2
47,189,3
64,190,2
96,150,4
52,143,1
80,142,2
82,153,3
54,152,4
95,186,4
58,155,4
77,186,4
41,170,1
24,181,2
73,162,3
41,149,1
39,157,2
53,163,5
10,146,4
21,143,2
73,181,2
43,148,2
72,144,5
27,151,1
58,166,2
26,172,2
82,190,2
66,178,1
13,169,5
58,180,2
85,159,3
81,166,1
29,166,3
52,189,2
43,190,2
41,148,3
40,173,5
75,188,5
46,162,4
99,175,3
70,160,1
50,168,4
59,170,3
79,149,5
49,163,2
76,182,3
79,168,5
84,179,3
68,170,2
93,164,1
17,156,2
54,178,5
41,143,2
26,165,4
38,141,5
86,177,3
80,160,3
74,177,3
85,172,4
13,183,4
14,168,2
91,153,5
10,177,5
84,189,1
82,158,3
44,141,3
77,163,2
67,190,3
59,175,5
71,186,3
62,143,1
20,176,5
100,142,3
32,173,2
59,141,3
83,179,1
61,168,1
60,181,1
33,168,5
66,146,1
99,167,4
81,180,3
53,153,4
68,172,3
39,168,4
24,151,1
66,147,2
86,175,5
28,163,5
53,169,1
57,153,5
79,186,2
36,151,2
44,164,1
69,144,4
27,181,2
27,186,4
92,150,5
35,176,1
41,145,4
34,143,4
38,147,1
70,171,2
41,185,4
67,169,5
98,158,4
60,165,5
20,172,3
74,146,4
62,181,1
12,163,5
54,176,3
77,169,2
12,145,3
98,167,4
62,152,3
18,173,4
17,185,1
63,140,2
45,159,1
66,185,5
19,147,5
17,149,2
73,183,1
91,188,5
92,140,5
59,167,3
42,143,2
85,177,3
27,169,2
94,146,5
84,142,3
87,145,4
77,186,4
89,174,2
31,170,5
46,165,5
18,174,3
78,188,5
58,176,4
71,142,5
44,142,5
12,166,4
90,171,1
72,190,2
16,161,3
23,147,3
67,148,4
94,170,1
56,182,2
30,146,1
50,156,5
31,183,2
40,146,1
32,172,4
92,154,2
22,154,1
83,149,2
94,166,1
34,170,2
20,163,2
69,175,3
17,185,1
92,155,3
97,145,2
82,161,5
18,184,1
80,153,1
76,156,1
92,148,4
78,186,1
27,167,3
36,143,4
41,176,5
79,141,3
54,172,1
72,186,5
98,168,5
30,184,3
64,140,4
35,157,1
64,145,2
23,147,1
92,147,1
54,151,5
96,151,4
31,167,4
43,162,2
73,183,2
86,149,4
81,140,2
83,155,4
42,171,4
64,160,3
69,141,3
99,150,5
87,157,5
53,159,4
84,173,4
86,157,3
93,158,1
33,185,1
86,167,1
13,145,2
99,190,2
94,178,4
81,148,1
59,148,1
95,167,1
12,169,4
38,144,4
51,160,3
85,165,3
95,170,2
18,155,5
41,154,3
48,141,1
10,168,4
59,142,2
13,189,5
59,178,5
73,187,4
73,162,3
32,181,3
12,144,3
51,160,5
82,188,1
22,183,5
51,184,2
24,180,3
90,163,1
25,188,2
27,143,1
94,178,1
47,148,5
56,140,2
75,184,3
93,156,1
83,154,5
85,144,2
83,152,4
65,173,1
13,190,1
44,190,5
51,155,3
49,167,2
44,188,2
30,166,4
22,155,4
83,148,2
20,156,2
38,146,5
100,165,3
99,175,4
92,165,4
94,176,1
